,clim_gamma,clim_c1,clim_c2,clim_c3,clim_kappa1,clim_kappa2,clim_kappa3,clim_epsilon,clim_sigma_eta,clim_sigma_xi,clim_F_4xCO2,cc_r0,cc_rU,cc_rT,cc_rA,ari_BC,ari_OC,ari_Sulfur,ari_NOx,ari_VOC,ari_NH3,ari_CH4,ari_N2O,ari_Equivalent effective stratospheric chlorine,aci_shape_so2,aci_shape_bc,aci_shape_oc,aci_beta,o3_CH4,o3_N2O,o3_Equivalent effective stratospheric chlorine,o3_CO,o3_VOC,o3_NOx,fscale_CH4,fscale_N2O,fscale_minorGHG,fscale_Stratospheric water vapour,fscale_Land use,fscale_Volcanic,fscale_solar_amplitude,fscale_solar_trend,fscale_Light absorbing particles on snow and ice,fscale_CO2,cc_co2_concentration_1750,seed
23638,13.984596951382828,1.9307956860799087,21.37434764321259,103.93687595140848,0.8094960521661567,2.4762991096607863,1.1306033102968736,1.3338833065761868,1.2311243632384643,0.3094697520175521,7.06617463848682,35.20997782078044,-0.0009464816661381,0.8641945623472769,0.0033613088170432,0.033034153362729,-0.0050781601653152,-0.0023051842735571,-7.05469480505377e-05,-3.996555041398479e-05,-0.0006246880406242,-1.5696752407745423e-06,-5.1693758374095104e-05,-7.368600824683623e-06,0.0088052369705518,0.6285976823334257,7.314936645242475e-11,-1.2132769775904952,0.0002769440271025,0.0008574407528583,-5.156567295024082e-05,-3.613267215503672e-06,-9.62104425657392e-05,0.0001620167830455,1.0881852004377643,0.912857438226975,0.8670882838567401,0.9567490475291393,0.7485090209927465,0.8933034641793625,1.2995232700648354,-0.0190453923592434,1.0996485798353104,0.94676042215179,276.96957376502985,10787325
23708,3.518593510392674,4.3859252226094885,9.634395597800273,123.58185570949,1.4827441728330772,2.07867030117907,0.8506368789641827,1.1533969718137538,1.0960503003172657,0.5444956894811577,8.587555880488402,31.783963362591397,0.0010539362974936,0.2900293517382825,0.0045183385906114,0.0580277369073945,-0.0016178354504194,-0.0032053039589927,-6.863165626623329e-05,-2.907602002586793e-05,-0.000613558248274,-1.433591186030373e-06,-4.445614843107736e-05,-9.370981663509426e-06,0.0070667653964997,2.4364816361041058e-17,0.1423380886936253,-1.5437176300182456,0.0002215365781018,0.001474200640734,-5.2847850428844e-05,-0.0001615772220875,0.0003969009709356,0.0012013804797098,0.8589686696822647,1.125147569939144,1.1147140241745437,0.3593807819891793,1.3680850188784572,0.9357606017548749,0.5944054337201103,-0.0555829550055868,0.860520653997447,1.058579709063482,279.8334538140032,10815255
24026,11.973902778094326,4.930797956033724,8.147887079328823,67.27290983610104,1.0454099223287143,2.4759030584331225,0.9322791721696586,1.3901854775262048,1.246661755989775,0.4554196820227241,7.1843867309753335,32.769272278098995,0.0001980866211508,1.746362541667994,0.0031583504808364,0.0206254106750636,-0.0017602851156171,-0.0040008750327063,-2.63382634455847e-05,-3.566143283981134e-05,-0.0005768893682883,-1.9464519577613264e-06,-5.505146953527486e-05,-7.760333103640342e-06,0.0041946411513328,0.0565839686074278,0.0004660317877121,-1.4827454400995668,0.0001686587728547,0.0010441762922419,-0.0001102291307414,0.0001230813945139,-3.640810876342918e-05,0.0013431769970104,1.2031995008635756,0.9372622186292237,0.946133337926886,0.8401143286803661,0.8807585816577757,0.9348145438487284,1.0626916046577228,-0.038246373054388,0.0021002536537414,0.9544639116907626,278.64042144424064,10942137
24297,2.336882852736405,5.011326006755172,5.329162183385345,91.42519585644791,1.3429320160670712,1.830513735904687,0.8295112642733823,1.33704385383935,0.1798761886730219,0.1681298452303965,6.277242263363727,32.40131504818086,0.0013081007451403,1.5159559892246923,0.0040274516884609,0.0272924127866099,-0.0041207331329613,-0.0042339413474422,-0.0001031878962947,-2.7999464399755976e-05,-0.0005884007392312,-3.549510394241753e-06,-4.77531994427166e-05,-8.06554198320074e-06,0.0033545320837035,0.0013542857081259,7.172245276944418e-17,-1.837633075955723,0.0002645872117938,0.0009836631916798,-0.0001566789172688,2.332804355619722e-05,0.00054148534484,0.0012225594244895,0.9492140807408652,1.0493959839047704,1.0761451019811372,1.055944221515877,0.7956472849055516,1.0100715924758752,0.7119194494195662,-0.0251274519326372,1.5824608424440498,0.8899936554428415,274.97510302964946,11050266
24687,11.057111489634238,5.255842607359807,19.922866283833244,54.720956594070216,1.058838718992372,0.8932531402254889,0.9881331626712948,1.262975225594582,1.2924492628304265,0.4637713156163135,6.210376747613744,27.502936415382276,0.0072643498921484,0.9412072310007894,0.0010679518128391,0.0235551731759724,-0.0045964312371193,-0.0028162993788118,-6.742944352133643e-05,1.226819850171403e-05,-0.000623944626774,-4.809687151632006e-06,-3.681663443710484e-05,-7.37066452481043e-06,0.0020214106550975,1.2205970652023985e-18,0.0034257051071402,-3.2486647980768746,0.0002208640659141,0.0011602680012918,-0.0001514237261179,8.330859058587438e-05,0.0004107912897901,0.0012785326898407,0.9749366290259068,0.9569644281612124,0.9350465192565808,1.3967322945029153,1.0918568175164305,0.9198273162014748,1.0138888170893907,-0.0308207071612609,0.7284819118417536,0.8849470938184557,277.3344958365442,11205876
24881,17.01712469424718,4.381657484830524,9.356970152369785,96.1627523376018,1.202141277567394,4.3289942052187325,1.066299929304677,1.5035628085351345,1.3497573075610123,0.4299582276604322,8.94797254724456,33.57956371414664,-0.0002395658173982,2.956814278711862,0.0020884879071591,0.0412613782286256,-0.0028562580544976,-0.0019218913288907,-4.470884713116314e-05,-1.650431130347633e-05,-0.0006090412950887,-3.2632904398594537e-06,-5.5687741958513655e-05,-8.022015096448418e-06,0.0230743782407385,6.0900502543858294e-30,0.0292754434050113,-0.9006053716993134,0.0001915535827496,0.0009413070714355,-2.6881928316329076e-05,5.409679627137176e-07,0.0004020202307271,0.0006652891251236,0.7696257794069358,0.9604788050398592,1.01397943915963,0.1498461812842779,0.997011929111654,0.9954905439335124,1.0890970725660594,0.066436099513184,0.6040973271444752,1.0828756721220434,276.5530068553003,11283282
25050,3.962877011051402,3.377493354022005,21.748043609087897,51.918149721749415,1.914335873400012,2.980910694940526,0.6470113683544513,1.408541746890985,0.6600082822744199,0.2533712443811237,6.21682783010646,30.003815349048303,0.0035020191092686,2.265983735133986,0.0008496113550307,0.0408964570215032,-0.0044213149175568,-0.0019975727177643,-6.273118395613934e-05,-3.091770534679484e-05,-0.0006277474531628,-2.2601223223646257e-06,-5.075289687876312e-05,-7.456999600957467e-06,0.0185755810466217,1.434910688378195e-38,3.252588271580815e-12,-0.1246625094722832,0.0002820496434473,0.0011018280935198,-6.366810868754952e-05,0.0001766344509874,0.0003169359018523,0.0001452026437012,1.03166883154455,1.0134716642154729,1.0959441140409902,0.9994849044523032,0.9797145538576788,0.961284771830244,1.1530094537470703,-0.0411817775728332,1.199369925097108,0.8854077350004544,280.10918451573144,11350713
25773,3.148828673907708,5.114728046737236,22.73589333740609,132.56352200521013,1.4387749684745077,2.1227513272142944,0.9928627137254686,0.953224658298657,1.21328846451764,0.7991858599785016,8.342296188172313,35.587112944541175,-0.0016641244192189,-1.35720122525808,0.0056884301468352,0.0361239264427988,-0.005779830663235,-0.0023591207285271,-9.28903236149596e-05,-3.1711325530089025e-05,-0.0006611435245471,-5.06744664190445e-06,-2.438532524511277e-05,-8.327546925196557e-06,0.0019533507926873,1.057646765520562,7.471066657186026e-16,-0.9988765256204736,0.0002294786988583,0.0007943115744383,-0.0001247750785659,-6.90144557126415e-05,0.0003389973415507,0.0009947841616339,0.8499709392339555,0.9689850331007184,1.0189645850177431,-0.2140575059864045,0.8351305594182,0.9668082547705724,1.5718930989430175,0.0831111890119855,1.2252677488115238,1.0409957106693797,279.04388859779743,11639190
30408,2.4927582137427784,2.051528785354797,11.349692686283571,119.65153284867094,0.8154223806903297,2.9074009424772544,0.6519007064332025,0.8269408044169958,0.3014700666468894,0.277584818276042,7.213893458939705,38.614544571610985,-0.0037810004341572,-2.459034371598096,0.0063468866260911,0.0349837292310388,-0.0008878507717267,-0.0032578205969673,-0.0001049566270968,-1.7333507634423376e-05,-0.0006453212654865,-3.79336285093354e-06,-3.944699948309948e-05,-9.720784341666214e-06,0.0110327332602393,9905.259972641648,2.6729615627074502e-11,-1.1676560783040864,0.0002914211408598,0.0005246264621188,-0.0001571796855954,0.0001291955622962,0.0004145199482602,0.0013145786577468,0.9105625946408956,1.0198339066587574,1.0426586012985084,0.1740710793638962,1.5712974964096478,1.0608441807907982,1.0670182929511562,-0.0599195074359167,2.2041297985825183,0.9569917297785672,278.3394743318367,13488555
30950,5.837533657562664,5.4102921112506746,10.341972657870908,94.43158184229463,1.196061201468964,3.771028204965468,1.0240284360722778,1.370207308762439,0.5442070974229167,0.3992427769750372,6.8160658689244205,31.428635463328064,0.0022062872283148,1.1726664413400167,0.003500682611594,0.0556213258126906,-0.003912003051535,-0.0051368105365307,-9.651534134490012e-05,-3.157821388438805e-05,-0.0006117833099166,-3.441847894640256e-06,-6.795637205242477e-05,-7.765896208875078e-06,1.924477690535609e-07,5.247869177723163e-09,8.662893596582382e-07,-30451.57756347839,0.0002726076163239,0.0009041518037462,-1.0832903151984996e-06,1.632910097591425e-05,0.000532869762522,0.0021155920549015,1.105163968760421,0.9170354901517956,0.9334985973772564,0.5070546939771976,0.7124743249663819,1.2895757614401115,0.8576380560843277,0.0539408567238102,1.062882281434352,0.9276983656069324,276.67144164162943,13704813
